roi_a,roi_b,similarity,duplicate_type
roi_0000,roi_0199,1.0,exact
roi_0001,roi_0200,1.0,exact
roi_0002,roi_0201,1.0,exact
roi_0003,roi_0202,1.0,exact
roi_0128,roi_0541,1.0,exact
roi_0146,roi_0149,0.9591,near
roi_0214,roi_0216,0.9619,near
roi_0219,roi_0227,0.9666,near
roi_0219,roi_0228,0.9812,exact
roi_0219,roi_0229,0.9523,near
roi_0220,roi_0235,0.961,near
roi_0223,roi_0230,0.9551,near
roi_0224,roi_0232,0.9533,near
roi_0237,roi_0247,0.9722,near
roi_0238,roi_0248,0.9598,near
roi_0239,roi_0250,0.9811,exact
roi_0259,roi_0263,0.9749,near
roi_0259,roi_0267,0.9578,near
roi_0259,roi_0271,0.9598,near
roi_0262,roi_0265,0.967,near
roi_0262,roi_0269,0.9794,near
roi_0262,roi_0273,0.9647,near
roi_0264,roi_0268,0.9788,near
roi_0279,roi_0284,0.9643,near
roi_0281,roi_0287,0.9849,exact
roi_0292,roi_0301,0.9517,near
roi_0390,roi_0392,0.951,near
roi_0390,roi_0395,0.9702,near
roi_0421,roi_0423,0.9824,exact
roi_0465,roi_0467,0.9937,exact
roi_0497,roi_0501,0.974,near
roi_0504,roi_0505,0.9504,near
roi_0504,roi_0531,1.0,exact
roi_0504,roi_0532,0.9504,near
roi_0506,roi_0533,1.0,exact
roi_0507,roi_0534,1.0,exact
roi_0508,roi_0535,1.0,exact
roi_0584,roi_0604,0.9601,near
